date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:24	32603/32603	---M--	200	added ('OK')	text/html	date:Tue,%2018%20May%202021%2010:26:17%20GMT	http://door.deu.ac.kr/Home/Index	C:/Users/Administrator/Desktop/HTTrack/Door/door.deu.ac.kr/Home/Index.html	(from )
19:27:24	4122/4122	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20May%202021%2010:26:17%20GMT	http://door.deu.ac.kr/robots.txt		(from )
19:27:24	10890/10890	---M-Z	200	added ('OK')	text/css	etag:%22018abbb24a3d51:0%22	http://door.deu.ac.kr/content/css/default.css	C:/Users/Administrator/Desktop/HTTrack/Door/door.deu.ac.kr/content/css/default.css	(from http://door.deu.ac.kr/Home/Index)
19:27:24	950/950	---M--	200	added ('OK')	text/css	etag:%22822c3bbc24a3d51:0%22	http://door.deu.ac.kr/content/css/base.css	C:/Users/Administrator/Desktop/HTTrack/Door/door.deu.ac.kr/content/css/base.css	(from http://door.deu.ac.kr/Home/Index)
19:27:25	38165/38165	---M-Z	200	added ('OK')	text/css	etag:%22018abbb24a3d51:0%22	http://door.deu.ac.kr/content/css/pubSheet.css	C:/Users/Administrator/Desktop/HTTrack/Door/door.deu.ac.kr/content/css/pubSheet.css	(from http://door.deu.ac.kr/Home/Index)
19:27:25	1879/1879	---M--	200	added ('OK')	application/javascript	etag:%22dbc541de82cd61:0%22	http://door.deu.ac.kr/Scripts/MessageBox.js?ddd	C:/Users/Administrator/Desktop/HTTrack/Door/door.deu.ac.kr/Scripts/MessageBox7796.js	(from http://door.deu.ac.kr/Home/Index)
19:27:26	3380/3380	---M-Z	200	added ('OK')	application/javascript	etag:%22807d211ce82cd61:0%22	http://door.deu.ac.kr/Scripts/jquery-ajaxHelper.js	C:/Users/Administrator/Desktop/HTTrack/Door/door.deu.ac.kr/Scripts/jquery-ajaxHelper.js	(from http://door.deu.ac.kr/Home/Index)
19:27:26	1371/1371	---M--	200	added ('OK')	image/png	etag:%22e516d3d024a3d51:0%22	http://door.deu.ac.kr/content/images/main/quick_menu_001.png	C:/Users/Administrator/Desktop/HTTrack/Door/door.deu.ac.kr/content/images/main/quick_menu_001.png	(from http://door.deu.ac.kr/Home/Index)
19:27:26	1196/1196	---M--	200	added ('OK')	image/png	etag:%22d8b3d3d024a3d51:0%22	http://door.deu.ac.kr/content/images/main/quick_menu_002.png	C:/Users/Administrator/Desktop/HTTrack/Door/door.deu.ac.kr/content/images/main/quick_menu_002.png	(from http://door.deu.ac.kr/Home/Index)
19:27:26	52496/52496	---M-Z	200	added ('OK')	application/javascript	etag:%22014ba1ce82cd61:0%22	http://door.deu.ac.kr/Scripts/jquery.bxslider.js	C:/Users/Administrator/Desktop/HTTrack/Door/door.deu.ac.kr/Scripts/jquery.bxslider.js	(from http://door.deu.ac.kr/Home/Index)
19:27:27	48/48	---M--	200	added ('OK')	image/gif	etag:%22f6efd2d024a3d51:0%22	http://door.deu.ac.kr/content/images/main/bx_quickMenu.gif	C:/Users/Administrator/Desktop/HTTrack/Door/door.deu.ac.kr/content/images/main/bx_quickMenu.gif	(from http://door.deu.ac.kr/Home/Index)
19:27:27	45552/45552	---M-Z	200	added ('OK')	application/javascript	etag:%22802d9da473ad71:0%22	http://door.deu.ac.kr/Scripts/common.js	C:/Users/Administrator/Desktop/HTTrack/Door/door.deu.ac.kr/Scripts/common.js	(from http://door.deu.ac.kr/Home/Index)
19:27:27	1768/1768	---M--	200	added ('OK')	image/gif	etag:%226ac13c581825d31:0%22	http://door.deu.ac.kr/files/20170904095421/quicklink/20170904095421377k.gif	C:/Users/Administrator/Desktop/HTTrack/Door/door.deu.ac.kr/files/20170904095421/quicklink/20170904095421377k.gif	(from http://door.deu.ac.kr/Home/Index)
